Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Liverpool,3,3,2,0,2,0,3,3.92906,0.342601,0.0,0.0,0.071,w,3,3.586,3.92906,0.342601,3
2,Liverpool,3,6,2,0,4,0,4,2.71877,0.457239,0.0,0.0,2.652,w,3,2.262,6.647830000000001,0.79984,6
3,Liverpool,3,9,3,0,7,0,2,2.10397,1.50087,0.0,0.0,1.033,w,3,0.603,8.751800000000001,2.30071,9
4,Liverpool,0,9,0,1,7,1,4,1.17044,0.589532,0.0,0.0,1.816,l,0,0.581,9.92224,2.890242,9
5,Liverpool,3,12,3,0,10,1,2,2.43731,1.46979,0.0,0.0,1.955,w,3,0.968,12.35955,4.360032,12
6,Liverpool,3,15,2,1,12,2,1,2.11724,0.748925,0.0,0.0,0.55,w,3,1.368,14.47679,5.108956999999999,15
7,Liverpool,3,18,1,0,13,2,1,2.07332,0.609481,0.0,0.0,0.478,w,3,1.464,16.55011,5.718437999999999,18
8,Liverpool,3,21,2,1,15,3,1,2.22517,1.33904,0.0,0.0,1.926,w,3,0.886,18.77528,7.057477999999999,21
9,Liverpool,1,22,2,2,17,5,2,1.35346,1.0883,0.0,0.0,1.174,d,1,0.265,20.12874,8.145777999999998,22
10,Liverpool,3,25,2,1,19,6,1,1.81037,1.01568,0.0,0.0,1.91,w,3,0.795,21.93911,9.161457999999998,25
11,Liverpool,3,28,2,0,21,6,1,2.68196,1.66337,0.0,0.0,1.961,w,3,1.019,24.62107,10.824827999999998,28
12,Liverpool,3,31,3,2,24,8,1,3.18835,1.53985,0.0,0.0,0.609,w,3,1.648,27.80942,12.364677999999998,31
13,Liverpool,3,34,2,0,26,8,1,3.70054,0.745015,0.0,0.0,2.74,w,3,2.956,31.50996,13.109692999999998,34
14,Liverpool,1,35,3,3,29,11,1,2.22766,1.52057,0.0,0.0,0.984,d,1,0.707,33.73762,14.630262999999998,35
15,Liverpool,1,36,2,2,31,13,1,2.09698,1.2862,0.0,0.0,1.89,d,1,0.811,35.8346,15.916462999999997,36
16,Liverpool,3,39,6,3,37,16,1,5.20214,1.20245,0.0,0.0,0.131,w,3,4.0,41.03674,17.118912999999996,39
17,Liverpool,3,42,3,1,40,17,1,1.89935,0.22097,0.0,0.0,2.54,w,3,1.678,42.93609,17.339882999999997,42
18,Liverpool,3,45,5,0,45,17,1,3.29868,0.518279,0.0,0.0,0.17,w,3,2.78,46.23477,17.858161999999997,45
19,Liverpool,1,46,2,2,47,19,1,2.862,1.67469,0.0,0.0,2.038,d,1,1.187,49.09677,19.532852,46
20,Liverpool,1,47,1,1,48,20,1,2.72291,0.5292,0.0,0.0,0.266,d,1,2.194,51.81968,20.062052,47
21,Liverpool,3,50,2,0,50,20,1,4.16249,1.20021,0.0,0.0,0.251,w,3,2.962,55.98217,21.262262,50
22,Liverpool,3,53,4,1,54,21,1,2.16809,0.804707,0.0,0.0,2.247,w,3,1.363,58.15026,22.066969,53
23,Liverpool,3,56,2,0,56,21,1,2.7219,1.65273,0.0,0.0,0.839,w,3,1.069,60.87216,23.719699,56
24,Liverpool,1,57,2,2,58,23,1,0.929103,0.910523,0.0,0.0,1.323,d,1,0.019,61.80126299999999,24.630222,57
25,Liverpool,3,60,2,1,60,24,1,1.86758,1.05329,0.0,0.0,1.917,w,3,0.814,63.66884299999999,25.683512,60
26,Liverpool,1,61,2,2,62,26,1,2.04279,1.02269,0.0,0.0,0.755,d,1,1.02,65.71163299999999,26.706202,61
27,Liverpool,3,64,2,0,64,26,1,0.807058,0.58248,0.0,0.0,1.107,w,3,0.225,66.51869099999999,27.288682,64
28,Liverpool,3,67,2,0,66,26,1,1.40027,0.45882,0.0,0.0,2.092,w,3,0.941,67.918961,27.747502,67
29,Liverpool,3,70,3,1,69,27,1,4.98996,0.511566,0.0,0.0,2.93,w,3,4.478,72.90892099999999,28.259068,70
30,Liverpool,3,73,1,0,70,27,1,1.29718,0.823136,0.0,0.0,1.716,w,3,0.474,74.20610099999999,29.082204,73
31,Liverpool,0,73,2,3,72,30,1,1.40638,1.72764,0.0,0.0,1.59,l,0,-0.321,75.61248099999999,30.809844,73
32,Liverpool,3,76,2,1,74,31,1,1.42902,1.46598,0.0,0.0,1.351,w,3,-0.037,77.04150099999998,32.275824,76
33,Liverpool,3,79,1,0,75,31,1,4.52706,0.232205,0.0,0.0,0.031,w,3,4.295,81.56856099999999,32.508029,79
34,Liverpool,3,82,5,1,80,32,1,2.51104,0.512812,0.0,0.0,2.563,w,3,1.998,84.07960099999998,33.020841,82
35,Liverpool,0,82,1,3,81,35,1,1.4267,3.51944,0.0,0.0,2.415,l,0,-2.093,85.50630099999998,36.540281,82
36,Liverpool,1,83,2,2,83,37,1,2.74682,2.18795,0.0,0.0,1.701,d,1,0.559,88.25312099999998,38.728231,83
37,Liverpool,0,83,2,3,85,40,1,3.065,2.17789,0.0,0.0,0.973,l,0,0.887,91.31812099999998,40.906121,83
38,Liverpool,1,84,1,1,86,41,1,1.92122,1.4144,0.0,0.0,1.705,d,1,0.507,93.23934099999998,42.320521,84
