Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Man United,3,3,1,0,1,0,7,2.04268,0.418711,0.0,0.0,2.455,w,3,1.624,2.04268,0.418711,3
2,Man United,0,3,1,2,2,2,11,1.28556,2.14153,0.0,0.0,1.915,l,0,-0.856,3.32824,2.560241,3
3,Man United,0,3,0,3,2,5,14,1.50087,2.10397,0.0,0.0,1.033,l,0,-0.603,4.82911,4.664211,3
4,Man United,3,6,3,0,5,5,10,3.02693,1.35593,0.0,0.0,0.572,w,3,1.671,7.85604,6.020141,6
5,Man United,1,7,0,0,5,5,11,2.35056,1.66928,0.0,0.0,1.014,d,1,0.681,10.2066,7.689420999999999,7
6,Man United,0,7,0,3,5,8,13,0.600721,5.4072,0.0,0.0,0.041,l,0,-4.806,10.807321,13.096621,7
7,Man United,1,8,0,0,5,8,14,0.448537,0.532809,0.0,0.0,1.351,d,1,-0.084,11.255858,13.62943,8
8,Man United,3,11,2,1,7,9,12,1.76555,0.892843,0.0,0.0,1.972,w,3,0.873,13.021408,14.522272999999998,11
9,Man United,0,11,1,2,8,11,14,2.62598,2.99312,0.0,0.0,1.595,l,0,-0.367,15.647388,17.515393,11
10,Man United,1,12,1,1,9,12,13,2.1605,1.21071,0.0,0.0,1.974,d,1,0.95,17.807888,18.726103,12
11,Man United,3,15,3,0,12,12,13,1.2369,0.417295,0.0,0.0,2.018,w,3,0.82,19.044788,19.143398,15
12,Man United,1,16,1,1,13,13,12,1.26912,1.98714,0.0,0.0,1.839,d,1,-0.718,20.313908,21.130538,16
13,Man United,3,19,4,0,17,13,9,1.76161,0.766749,0.0,0.0,2.063,w,3,0.995,22.075518,21.897287,19
14,Man United,0,19,0,2,17,15,13,0.256083,2.96684,0.0,0.0,2.798,l,0,-2.711,22.331601,24.864127,19
15,Man United,0,19,2,3,19,18,13,1.4697,0.651217,0.0,0.0,1.975,l,0,0.818,23.801301,25.515344,19
16,Man United,3,22,2,1,21,19,13,2.04662,0.638103,0.0,0.0,0.505,w,3,1.409,25.847921,26.153447,22
17,Man United,0,22,0,3,21,22,13,2.28533,1.82831,0.0,0.0,1.66,l,0,0.457,28.133251,27.981757,22
18,Man United,0,22,0,2,21,24,14,0.358876,0.826489,0.0,0.0,1.74,l,0,-0.468,28.492127,28.808246,22
19,Man United,0,22,0,2,21,26,14,1.00073,2.2424,0.0,0.0,0.658,l,0,-1.242,29.492857,31.050646,22
20,Man United,1,23,2,2,23,28,13,1.67469,2.862,0.0,0.0,2.038,d,1,-1.187,31.167547,33.912646,23
21,Man United,3,26,3,1,26,29,12,3.10847,1.36705,0.0,0.0,2.305,w,3,1.741,34.276017,35.279696,26
22,Man United,0,26,1,3,27,32,13,1.31823,2.17172,0.0,0.0,0.885,l,0,-0.853,35.594247,37.451416,26
23,Man United,3,29,1,0,28,32,12,0.201988,0.560571,0.0,0.0,1.628,w,3,-0.359,35.796235,38.011987000000005,29
24,Man United,0,29,0,2,28,34,13,1.50706,2.44633,0.0,0.0,0.874,l,0,-0.939,37.303295,40.45831700000001,29
25,Man United,0,29,0,1,28,35,15,1.42652,1.97109,0.0,0.0,1.727,l,0,-0.545,38.729815,42.429407000000005,29
26,Man United,1,30,2,2,30,37,15,0.645685,2.10444,0.0,0.0,2.325,d,1,-1.459,39.3755,44.533847,30
27,Man United,3,33,3,2,33,39,14,1.40202,1.04498,0.0,0.0,1.622,w,3,0.357,40.77752,45.578827,33
28,Man United,1,34,1,1,34,40,14,1.31107,1.82996,0.0,0.0,1.054,d,1,-0.519,42.08859,47.408787,34
29,Man United,3,37,3,0,37,40,13,1.13892,1.30455,0.0,0.0,1.483,w,3,-0.166,43.22751,48.713337,37
30,Man United,0,37,0,1,37,41,13,1.86688,0.512063,0.0,0.0,0.485,l,0,1.355,45.09439,49.2254,37
31,Man United,1,38,0,0,37,41,13,1.23317,0.687894,0.0,0.0,1.779,d,1,0.545,46.327560000000005,49.913294,38
32,Man United,0,38,1,4,38,45,14,0.786568,2.6383,0.0,0.0,2.449,l,0,-1.852,47.11412800000001,52.551594,38
33,Man United,0,38,0,1,38,46,14,1.13966,0.187814,0.0,0.0,2.168,l,0,0.952,48.25378800000001,52.739408000000005,38
34,Man United,1,39,1,1,39,47,14,1.91039,0.60995,0.0,0.0,0.536,d,1,1.3,50.16417800000001,53.349358,39
35,Man United,0,39,3,4,42,51,15,1.13404,3.58737,0.0,0.0,2.564,l,0,-2.453,51.298218000000006,56.936728,39
36,Man United,0,39,0,2,42,53,16,2.31287,2.15985,0.0,0.0,1.487,l,0,0.153,53.61108800000001,59.096578,39
37,Man United,0,39,0,1,42,54,16,0.337632,1.29571,0.0,0.0,2.132,l,0,-0.958,53.94872000000001,60.392288,39
38,Man United,3,42,2,0,44,54,15,2.96259,0.335222,0.0,0.0,2.764,w,3,2.627,56.91131000000001,60.72751,42
